Project,Facebook ads library,Funnel/Page
Mad Muscles,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=100958055169743,https://workouts.madmuscles.com/funnel/default-uni-soft-new/step-one?utm_source=facebook&camp_id=%7B%7Bcampaign.id%7D%7D&camp_name=%7B%7Bcampaign.name%7D%7D&utm_campaign=%7B%7Badset.id%7D%7D&asn=%7B%7Badset.name%7D%7D&utm_medium=%7B%7Bad.id%7D%7D&utm_term=%7B%7Bad.name%7D%7D&locale=en&utm_target=v%28military%29_tm1%28military%29_tm2%28workout%29&rr=0&brr=1
No Carbs Challenge,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=%22nocarbschallenge.com%22&search_type=keyword_exact_phrase&sort_data[direction]=desc&sort_data[mode]=total_impressions,
Nebula,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=529240560282958			,https://appnebula.co/marriage-compatibility/gender
Woofz,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=100277271937762&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all			,https://woofz.academy/sex_4?lang=en&cohort=woofz22_v4&uuid=27a8d8b1-00b4-46f1-8125-f283d4d9331b
,,
Physical products,,
,,
DR. SQUATCH,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=total_impressions&view_all_page_id=118075261668462,https://www.drsquatch.com/
Happy Mammoth,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=1343771369029582,
Savvy Finds,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=total_impressions&view_all_page_id=105538635010632,
MOERIE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=relevancy_monthly_grouped&sort_data[direction]=desc&view_all_page_id=1080969928666350,
Bioma Health,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=total_impressions&view_all_page_id=111684105057189,https://bioma.health/weight-loss-short
